OBJECT_ID,FIRE_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE
263599,2-BOYS,2003,2452856.5,217,1930,5,Debris Burning,2452856.5,217,1937,0.1,A,43.1555,-102.3713
127098,SKINNER,2000,2451760.5,217,1410,1,Lightning,2451760.5,217,2254,3,B,35.92638889,-111.9938889
1589980,SHIRK CREEK,2012,2456143.5,217,,6,Railroad,,,,371,E,43.0749,-103.2287
100568,773,1997,2450665.5,217,1645,1,Lightning,2450667.5,219,1500,0.3,B,44.41361111,-119.8283333
1217206,CHICKEN SPRINGS,2010,2455413.5,217,1534,1,Lightning,2455415.5,219,1600,275,D,41.6169,-114.5017
5286,JOCK MOCK,2005,2453587.5,217,1700,9,Miscellaneous,2453587.5,217,1856,0.1,A,47.86055556,-90.66611111
1279247,SOUTH HUBBART,2009,2455048.5,217,51,1,Lightning,2455049.5,218,51,1.72,B,47.8916,-114.6548
318256,TULE,2000,2451760.5,217,1611,1,Lightning,2451760.5,217,2005,0.1,A,41.0582,-119.971
756212,ILLEGAL BURN #5,1992,2448838.5,217,,13,Missing/Undefined,,,,3,B,40.35465,-111.93558
77618,CRAZYHORSE,1995,2449934.5,217,1500,1,Lightning,2449936.5,219,1430,0.1,A,32.66,-109.8566667
1472182,COX FIRE,2011,2455778.5,217,,5,Debris Burning,2455778.5,217,,0.01,A,45.20111,-122.36472
555529,,1999,2451395.5,217,,8,Children,,,,0.75,B,39.85833,-74.90417
246879,JACOBSFIRE,2003,2452856.5,217,1430,2,Equipment Use,2452856.5,217,1500,3,B,34.5168,-96.8336
159594,FIDDLER,2003,2452856.5,217,1740,1,Lightning,2452857.5,218,1152,0.1,A,46.71138889,-113.6833333
215946,CLIPPER 2,1993,2449204.5,217,1300,1,Lightning,2449204.5,217,1330,2,B,34.75,-115.5008
806284,SILVER SPRINGS,2007,2454317.5,217,,8,Children,2454317.5,217,,0.01,A,42.76972,-124.49694
187502,CALCIO 2,1995,2449934.5,217,1436,7,Arson,2449934.5,217,2000,0.3,B,42.9833,-112.0008
55408,,1993,2449204.5,217,1330,1,Lightning,2449204.5,217,1830,0.1,A,35.59333333,-112.135
802245,,1999,2451395.5,217,,1,Lightning,,,,30,C,37.7008,-84.4511
