,OBJECT_ID,CITY,COUNTY,STATE,COUNTRY
185,1430965,Hurley,Jackson County,Mississippi,US
186,1700169,Liborio Negron Torres,,Sabana Grande,PR
187,1590201,Norfolk,Madison County,Nebraska,US
188,893188,Winnfield,Winn Parish,Louisiana,US
189,1609596,Nicholls,Coffee County,Georgia,US
190,1378820,Ludowici,Long County,Georgia,US
191,1055988,McColl,Marlboro County,South Carolina,US
192,529278,Hamlet,Richmond County,North Carolina,US
193,1033415,Rhodhiss,Caldwell County,North Carolina,US
194,852084,Eutaw,Greene County,Alabama,US
195,833799,Crystal Springs,Copiah County,Mississippi,US
196,1114784,Lake of the Pines,Nevada County,California,US
197,414506,Ridge Manor,Hernando County,Florida,US
198,513811,Icard,Burke County,North Carolina,US
199,1773674,Soda Bay,Lake County,California,US
200,414505,Homosassa Springs,Citrus County,Florida,US
201,414944,Babson Park,Polk County,Florida,US
202,1055300,Beulaville,Duplin County,North Carolina,US
203,783662,Broken Bow,McCurtain County,Oklahoma,US
204,1398375,Fitzgerald,Ben Hill County,Georgia,US
205,1050806,Yadkinville,Yadkin County,North Carolina,US
206,1604953,De Queen,Sevier County,Arkansas,US
207,411328,Archer,Alachua County,Florida,US
208,1763647,Lake Kiowa,Cooke County,Texas,US
209,1398228,Nahunta,Brantley County,Georgia,US
210,746133,Holly Hill,Orangeburg County,South Carolina,US
211,885199,Lacombe,Saint Tammany Parish,Louisiana,US
212,1063647,Los Indios,Cameron County,Texas,US
213,423635,Tennille,Washington County,Georgia,US
214,1522127,White Oak,Gregg County,Texas,US
215,1002182,Stanley,Gaston County,North Carolina,US
216,1818202,Overbrook,Osage County,Kansas,US
217,441580,Waynesboro,Burke County,Georgia,US
218,1528824,New Fairview,Wise County,Texas,US
219,617941,Mount Pleasant,Titus County,Texas,US
220,626495,Ralls,Crosby County,Texas,US
221,624237,Giddings,Lee County,Texas,US
222,1528891,Gatesville,Coryell County,Texas,US
223,1773746,Hamilton,Marion County,Alabama,US
224,588853,Moncks Corner,Berkeley County,South Carolina,US
225,411332,Williston Highlands,Levy County,Florida,US
226,1367436,Searcy,White County,Arkansas,US
227,1712605,Los Llanos,,Coamo,PR
228,1227434,Stigler,Haskell County,Oklahoma,US
229,1868858,Makawao,Maui County,Hawaii,US
230,1263203,Bellevue,Jackson County,Iowa,US
231,936588,Bon Aqua Junction,Hickman County,Tennessee,US
232,1690521,Howe,Grayson County,Texas,US
233,1159868,Citronelle,Mobile County,Alabama,US
234,640533,Edinburg,Hidalgo County,Texas,US
235,1260738,Sylvester,Worth County,Georgia,US
236,1784718,Tea,Lincoln County,South Dakota,US
237,1249602,Ashburn,Turner County,Georgia,US
238,472262,Cadiz,Trigg County,Kentucky,US
239,1678530,Gamewell,Caldwell County,North Carolina,US
240,881226,Springfield,Effingham County,Georgia,US
241,1745961,Chickamauga,Walker County,Georgia,US
242,997549,Ahoskie,Hertford County,North Carolina,US
243,1767554,Ridgeville,Dorchester County,South Carolina,US
244,1421321,DeQuincy,Calcasieu Parish,Louisiana,US
245,1767578,Bluewell,Mercer County,West Virginia,US
246,249061,Eufaula,McIntosh County,Oklahoma,US
247,1520438,East New York,Kings County,New York,US
248,901418,Siloam Springs,Benton County,Arkansas,US
249,1253929,Statenville,Echols County,Georgia,US
250,1815902,Tchula,Holmes County,Mississippi,US
251,573491,North Hartsville,Darlington County,South Carolina,US
252,1672695,Privateer,Sumter County,South Carolina,US
253,411721,Wildwood,Sumter County,Florida,US
254,427602,Bainbridge,Decatur County,Georgia,US
255,1529083,San Diego,Duval County,Texas,US
256,556939,Absecon,Atlantic County,New Jersey,US
257,657913,Mount Pleasant,Titus County,Texas,US
258,1762975,Wake Village,Bowie County,Texas,US
259,1767568,Cajahs Mountain,Caldwell County,North Carolina,US
260,1801672,Stilwell,Adair County,Oklahoma,US
261,1484354,Frostproof,Polk County,Florida,US
262,735437,Manning,Clarendon County,South Carolina,US
263,602970,Merryville,Beauregard Parish,Louisiana,US
264,884895,Douglas,Coffee County,Georgia,US
265,1818511,Valdosta,Lowndes County,Georgia,US
266,26812,Boyce,Rapides Parish,Louisiana,US
267,573494,Ridgeville,Dorchester County,South Carolina,US
268,1745963,Ringgold,Catoosa County,Georgia,US
269,969752,Youngstown,Bay County,Florida,US
270,1407871,Midway,Liberty County,Georgia,US
271,1712621,Coco,,Salinas,PR
272,1672782,Lake City,Florence County,South Carolina,US
273,1610170,Dock Junction,Glynn County,Georgia,US
274,1408332,Chatsworth,Murray County,Georgia,US
275,836622,Summerville,Chattooga County,Georgia,US
276,1310362,Waterford,Saratoga County,New York,US
277,1529173,Somerset,Bexar County,Texas,US
278,628791,Redwood,Guadalupe County,Texas,US
279,896332,Greensburg,Saint Helena Parish,Louisiana,US
280,1529165,Lumberton,Hardin County,Texas,US
281,443262,Homerville,Clinch County,Georgia,US
282,889271,Oakdale,Allen Parish,Louisiana,US
283,1443268,West Baraboo,Sauk County,Wisconsin,US
284,1391521,Cairo,Grady County,Georgia,US
285,747769,Ninety Six,Greenwood County,South Carolina,US
286,1712667,Tallaboa Alta,,Penuelas,PR
287,1280428,Mount Carmel,Decatur County,Tennessee,US
288,1279871,Dexter,Chaves County,New Mexico,US
289,1700316,Villalba,,Villalba,PR
290,1263142,Ida Grove,Ida County,Iowa,US
291,246596,Vicksburg,Warren County,Mississippi,US
292,1162726,Underwood-Petersville,Lauderdale County,Alabama,US
293,1549102,Merryville,Beauregard Parish,Louisiana,US
294,428573,Toccoa,Stephens County,Georgia,US
295,1761806,Ponchatoula,Tangipahoa Parish,Louisiana,US
296,1009784,Lillington,Harnett County,North Carolina,US
297,1677024,North Wilkesboro,Wilkes County,North Carolina,US
298,959228,Bonifay,Holmes County,Florida,US
299,1506184,Collinsville,Lauderdale County,Mississippi,US
300,1549194,Snyder,Scurry County,Texas,US
301,1473746,Kershaw,Lancaster County,South Carolina,US
302,1648068,Stilwell,Adair County,Oklahoma,US
303,1830115,Grundy,Buchanan County,Virginia,US
304,1549156,Inez,Victoria County,Texas,US
305,978471,Chiefland,Levy County,Florida,US
306,1414034,Pelham,Mitchell County,Georgia,US
307,961744,Brookridge,Hernando County,Florida,US
308,701012,Prentiss,Jefferson Davis County,Mississippi,US
309,1411030,Ball Ground,Cherokee County,Georgia,US
310,1429924,Ashland,Clay County,Alabama,US
311,421586,Colquitt,Miller County,Georgia,US
312,1059600,Calico Rock,Izard County,Arkansas,US
313,1662350,Colorado Springs,El Paso County,Colorado,US
314,1694113,Palo Pinto,Palo Pinto County,Texas,US
315,1540617,Monahans,Ward County,Texas,US
316,966723,Blountstown,Calhoun County,Florida,US
317,897924,Hugo,Choctaw County,Oklahoma,US
318,205470,Laveen,Maricopa County,Arizona,US
319,1680924,Buckingham,Lee County,Florida,US
320,1515444,Southern Pines,Moore County,North Carolina,US
321,1749164,Pickens,Holmes County,Mississippi,US
322,960523,Florala,Covington County,Alabama,US
323,665984,Broadway,Rockingham County,Virginia,US
324,1161985,Butler,Choctaw County,Alabama,US
325,959737,Laurel,Sarasota County,Florida,US
326,422605,Chester,Dodge County,Georgia,US
327,735067,Saint Stephen,Berkeley County,South Carolina,US
328,316280,San Diego Country Estates,San Diego County,California,US
329,1430311,Blue Ridge,Elmore County,Alabama,US
330,1818583,Antlers,Pushmataha County,Oklahoma,US
331,407985,Monticello,Jefferson County,Florida,US
332,425562,Springfield,Effingham County,Georgia,US
333,473029,Midway,La Salle Parish,Louisiana,US
334,1749249,Hohenwald,Lewis County,Tennessee,US
335,855272,Pine Level,Autauga County,Alabama,US
336,591285,Rapid City,Pennington County,South Dakota,US
337,1056422,Lucama,Wilson County,North Carolina,US
338,1395351,Midway,Liberty County,Georgia,US
339,1749309,Gibson,Pulaski County,Arkansas,US
340,1275161,Magee,Simpson County,Mississippi,US
341,692012,Lumberton,Lamar County,Mississippi,US
342,381582,Doniphan,Ripley County,Missouri,US
343,832766,New Augusta,Perry County,Mississippi,US
344,1016822,Stony Point,Alexander County,North Carolina,US
345,636184,Corpus Christi,Nueces County,Texas,US
346,524688,Fort Bragg,Cumberland County,North Carolina,US
347,819826,Columbia,Marion County,Mississippi,US
348,932694,Jasper,Marion County,Tennessee,US
349,706481,De Kalb,Kemper County,Mississippi,US
350,1430838,Mosses,Lowndes County,Alabama,US
351,1001844,Cullowhee,Jackson County,North Carolina,US
352,1461919,Wewoka,Seminole County,Oklahoma,US
353,1421326,DeQuincy,Calcasieu Parish,Louisiana,US
354,1749313,Pembroke,Bryan County,Georgia,US
355,250053,Hominy,Osage County,Oklahoma,US
356,982130,Live Oak,Suwannee County,Florida,US
357,1162010,Rockford,Coosa County,Alabama,US
358,1763238,Clyde,Callahan County,Texas,US
359,701755,Sumrall,Lamar County,Mississippi,US
360,1786588,Avondale,Maricopa County,Arizona,US
361,1767768,Rockingham,Richmond County,North Carolina,US
362,641403,Camp Swift,Bastrop County,Texas,US
363,896328,French Settlement,Livingston Parish,Louisiana,US
364,1394938,Rincon,Effingham County,Georgia,US
365,1829816,Poteet,Atascosa County,Texas,US
366,359498,Cambridge,Dorchester County,Maryland,US
367,438803,Jeffersonville,Twiggs County,Georgia,US
368,1231253,Cherry Hills Village,Arapahoe County,Colorado,US
369,1154385,Berry,Fayette County,Alabama,US
370,603268,Kilgore,Gregg County,Texas,US
371,1852952,Tucson,Pima County,Arizona,US
372,381536,Clinton,Van Buren County,Arkansas,US
373,1046474,Hildebran,Burke County,North Carolina,US
374,1250113,Davisboro,Washington County,Georgia,US
375,316284,Aguanga,Riverside County,California,US
376,1043246,Lumberton,Robeson County,North Carolina,US
377,888700,Independence,Tangipahoa Parish,Louisiana,US
378,944474,Weber City,Fluvanna County,Virginia,US
379,1405393,Albany,Dougherty County,Georgia,US
380,420042,Putney,Dougherty County,Georgia,US
381,565803,Talihina,Le Flore County,Oklahoma,US
382,653443,Menard,Menard County,Texas,US
383,1422960,Kinder,Allen Parish,Louisiana,US
384,628425,Huntington,Angelina County,Texas,US
385,888050,Leesville,Vernon Parish,Louisiana,US
386,1521353,Neosho,Newton County,Missouri,US
387,1710030,Santa Isabel,,Santa Isabel Municipio,PR
388,529348,Hudson,Caldwell County,North Carolina,US
389,338409,Lee Acres,San Juan County,New Mexico,US
390,1152928,Tuskegee,Macon County,Alabama,US
391,1710056,Yauco,,Yauco,PR
392,1774227,Salem,Dent County,Missouri,US
393,874305,Rydal,Bartow County,Georgia,US
394,1505362,Prentiss,Jefferson Davis County,Mississippi,US
395,809884,Louisville,Winston County,Mississippi,US
396,774760,South Greeley,Laramie County,Wyoming,US
397,1326849,Louisa,Lawrence County,Kentucky,US
398,625653,Ames,Coryell County,Texas,US
399,455642,Forsyth,Monroe County,Georgia,US
400,1838871,Lakewood,Sumter County,South Carolina,US
