,Unnamed: 0,START_DATE,END_DATE
2373,1673674,2013-03-30,2013-03-30
2374,1841095,2015-03-30,2015-03-31
2375,1014020,1995-03-30,
2376,947930,1999-03-30,
2377,381671,2006-03-30,
2378,174407,1994-03-30,1994-03-30
2379,435625,2006-03-30,
2380,1816438,2015-03-30,2015-03-30
2381,514727,2006-03-30,
2382,585292,2004-03-29,
2383,1718695,2010-03-30,
2384,125328,1999-03-30,1999-03-30
2385,1841077,2015-03-30,2015-03-30
2386,1032246,1999-03-30,
2387,1319527,1998-03-30,1998-03-30
2388,1822725,2015-03-30,2015-03-30
2389,505228,2000-03-29,
2390,1307633,2006-03-31,2006-03-31
2391,1739863,2014-03-31,2014-03-31
2392,1212950,2010-03-31,2010-03-31
2393,440149,2006-03-31,
2394,868146,1998-03-31,
2395,1371461,1998-03-31,
2396,194222,1994-03-31,1994-03-31
2397,821443,2007-03-31,
2398,1754412,2014-03-31,2014-03-31
2399,439234,2006-03-31,
2400,449341,2007-03-31,
2401,1370460,1999-03-31,
2402,436278,2006-03-31,
2403,1310034,2006-03-31,2006-03-31
2404,1822987,2015-03-31,2015-03-31
2405,1754313,2014-03-31,2014-03-31
2406,517782,2006-03-31,
2407,1273804,2001-03-31,2001-03-31
2408,900946,1997-03-31,
2409,784946,1992-03-30,
2410,566698,2005-03-31,
2411,947018,1998-03-31,
2412,1859232,2015-03-31,2015-03-31
2413,1784435,2014-03-31,
2414,928834,2002-03-31,
2415,385695,2003-03-31,
2416,1553004,2011-03-31,
2417,1293863,2008-03-30,2008-03-30
2418,1302440,2007-03-31,2007-03-31
2419,339757,2009-03-31,2009-03-31
2420,703243,1994-03-31,1994-03-31
2421,177857,1994-03-31,1994-03-31
2422,1754397,2014-03-31,2014-03-31
2423,1161357,2006-03-31,2006-03-31
2424,1822880,2015-03-31,2015-03-31
2425,1310185,2006-03-31,2006-03-31
2426,904671,1997-03-31,
2427,558209,2008-03-30,
2428,1087495,2004-03-30,
2429,803507,2000-03-31,
2430,374232,2003-04-01,
2431,1858654,2015-04-01,2015-04-01
2432,252663,2000-03-31,2000-03-31
2433,1299263,2007-04-01,2007-04-01
2434,798627,1994-04-01,1994-04-01
2435,1398262,1994-04-01,1994-04-01
2436,1023104,1997-04-01,
2437,1210700,2010-04-01,2010-04-01
2438,1013133,1995-04-01,
2439,419016,2003-04-01,
2440,602222,2003-04-01,
2441,617672,2006-04-01,
2442,1704533,2004-03-31,
2443,1166172,1997-04-01,1997-04-01
2444,1221488,2010-04-01,
2445,1420516,1996-03-31,1996-03-31
2446,860331,1998-04-01,
2447,1096566,1997-04-01,
2448,920283,2001-04-01,
2449,1365865,2010-04-01,
2450,1327874,2004-03-31,2004-03-31
2451,1754437,2014-04-01,2014-04-01
2452,1227128,2003-04-01,2003-04-01
2453,251554,2001-04-01,2001-04-01
2454,1023840,1997-04-01,
2455,857434,2002-04-01,
2456,1177186,2010-04-01,2010-04-01
2457,1754655,2014-04-01,2014-04-01
2458,1185661,2010-04-01,
2459,781654,1993-04-01,1993-04-01
2460,1624283,2012-03-31,2012-03-31
2461,1754426,2014-04-01,2014-04-01
2462,1199175,2010-04-01,
2463,1477508,2011-04-02,2011-04-02
2464,1371619,2000-04-01,
2465,949525,2000-04-01,
2466,949814,2000-04-01,
2467,1841291,2015-04-02,2015-04-02
2468,1316659,2000-04-01,2000-04-01
2469,937152,1998-04-02,
2470,1477511,2011-04-02,2011-04-02
2471,1776081,2014-04-02,2014-04-02
2472,506481,2000-04-01,
2473,385452,2003-04-02,
2474,1319627,1998-04-02,1998-04-02
2475,1678132,2013-04-02,2013-04-02
2476,1092495,1997-04-02,
2477,1792884,2015-04-02,2015-04-02
2478,1268381,2009-04-02,2009-04-02
2479,1027637,1998-04-02,
2480,1764866,2014-04-02,
2481,1576412,2012-04-01,2012-04-02
2482,1422089,2009-04-02,
2483,263919,2004-04-01,2004-04-01
2484,1425313,2010-04-02,2010-04-02
2485,471350,2006-04-02,
2486,1221532,2010-04-02,
2487,1823209,2015-04-02,2015-04-02
2488,517997,2006-04-02,
2489,1427135,2010-04-02,2010-04-02
2490,411497,2005-04-02,
2491,736358,1994-04-02,1994-04-02
2492,1322925,1997-04-02,1997-04-02
2493,971639,1999-04-02,
2494,1227134,2003-04-02,2003-04-02
2495,517115,2006-04-02,
2496,733214,1995-04-02,1995-04-02
2497,804057,2000-04-01,
2498,1097366,2000-04-01,
2499,1073771,2000-04-01,
2500,471348,2006-04-02,
2501,1268956,2007-04-02,2007-04-02
2502,1709148,2005-04-02,
2503,366443,2002-04-02,2002-04-03
2504,701256,1994-04-02,1994-04-02
2505,1248173,2001-04-02,2001-04-02
2506,1245398,2001-04-02,2001-04-02
2507,1227915,2003-04-02,2003-04-02
2508,1574422,2012-04-01,2012-04-01
2509,1050316,2002-04-02,
2510,1769051,2014-04-02,2014-04-03
2511,783443,1996-04-01,1996-04-01
2512,1200230,2010-04-02,
2513,1320981,1999-04-02,1999-04-02
2514,1425732,2010-04-02,2010-04-02
2515,935922,1997-04-02,
2516,1677638,2013-04-03,2013-04-03
2517,1858674,2015-04-03,2015-04-03
2518,792136,1994-04-03,1994-04-03
2519,495789,1993-04-03,
2520,272545,2005-04-03,2005-04-03
2521,615049,2005-04-03,
2522,694271,1995-04-03,1995-04-03
2523,1505864,2011-04-03,2011-04-03
2524,794831,1994-04-03,1994-04-03
2525,1363180,1996-04-02,1996-04-02
2526,780882,1996-04-02,1996-04-02
2527,629023,2006-04-03,
2528,880278,1999-04-03,
2529,175089,1995-04-03,1995-04-03
2530,906289,1997-04-03,
2531,1517532,2011-04-03,2011-04-03
2532,82842,1995-04-03,1995-04-03
2533,564742,2004-04-02,
2534,1187641,2010-04-03,
2535,1192569,2010-04-03,
2536,994418,2002-04-03,
2537,874270,1999-04-03,
2538,1823264,2015-04-03,2015-04-03
2539,819688,2006-04-03,
2540,1323269,1997-04-03,1997-04-03
2541,1406402,1993-04-03,1993-04-03
2542,708099,1996-04-02,1996-04-02
2543,674955,2004-04-02,
2544,1320181,1999-04-03,1999-04-03
2545,1409083,1995-04-03,1995-04-03
2546,794236,1994-04-03,1994-04-03
2547,164976,2004-04-02,2004-04-02
2548,818044,2006-04-03,
2549,1784183,2014-04-03,
2550,608574,1996-04-02,
2551,1161406,2006-04-03,2006-04-03
2552,1209958,2010-04-03,
2553,1227136,2003-04-03,2003-04-03
2554,405327,2004-04-02,
2555,1755012,2014-04-03,2014-04-03
2556,389377,2005-04-03,
2557,733267,1995-04-03,1995-04-03
2558,859812,1997-04-03,
2559,901602,1998-04-04,
2560,1323664,1994-04-04,1994-04-04
2561,493863,1992-04-03,
2562,1406110,1996-04-03,1996-04-03
2563,485861,2005-04-04,
2564,1620312,2012-04-03,2012-04-03
2565,1229036,2009-04-04,2009-04-04
2566,510671,2004-04-03,
2567,253790,2004-04-03,2004-04-03
2568,1595521,2012-04-03,2012-04-03
2569,900424,2002-04-04,
2570,1413545,1997-04-04,1997-04-04
2571,433614,2004-04-03,
2572,866533,2002-04-04,
2573,431237,2004-04-03,
2574,1716767,2009-04-04,
2575,665376,2009-04-04,
2576,446636,2007-04-04,
2577,433017,2004-04-03,
2578,1020906,1996-04-03,
2579,451707,2007-04-04,
2580,1064816,2005-04-04,2005-04-04
2581,812094,2004-04-03,
2582,1447314,1998-04-04,
2583,183193,1992-04-03,1992-04-03
2584,1670925,2013-04-04,2013-04-04
2585,471981,2006-04-04,
2586,1363162,1995-04-04,1995-04-04
2587,1022098,1996-04-03,
2588,1481872,2011-04-04,2011-04-04
2589,1716756,2009-04-04,
2590,812692,2005-04-04,
2591,1810674,2015-04-04,2015-04-04
2592,1210022,2010-04-04,
2593,485903,2005-04-04,
2594,1755993,2014-04-04,2014-04-15
2595,488869,2004-04-03,
2596,1015680,1995-04-04,
2597,1397433,1995-04-04,1995-04-04
2598,184760,1998-04-04,1998-04-04
2599,1513943,2011-04-04,2011-04-04
2600,1515208,2011-04-04,2011-04-04
2601,1289688,2009-04-04,2009-04-04
2602,1018746,1996-04-03,
2603,1017260,1995-04-05,
2604,1533835,2009-04-05,
2605,1221570,2010-04-05,
2606,1221562,2010-04-05,
2607,1210338,2009-04-05,
2608,1721330,2011-04-05,
2609,1668977,2013-04-05,2013-04-05
2610,528355,2007-04-05,
2611,194670,1994-04-05,1994-04-05
2612,1495386,2011-04-05,2011-04-05
2613,876238,1999-04-05,
2614,811483,2004-04-04,
2615,797107,1992-04-04,1992-04-04
2616,1655637,2013-04-05,
2617,698013,1992-04-04,1992-04-04
2618,1533856,2009-04-05,
2619,410788,2005-04-05,
2620,914247,1999-04-05,
2621,802454,1999-04-05,
2622,1676619,2013-04-05,2013-04-05
2623,1199923,2010-04-05,
2624,52140,1992-04-04,1992-04-04
2625,496919,1994-04-05,
2626,1162078,2006-04-05,2006-04-05
2627,919207,2000-04-04,
2628,949105,1999-04-05,
2629,1841555,2015-04-05,2015-04-08
2630,1187237,2010-04-05,
2631,774944,1992-04-04,1992-04-04
2632,856144,2001-04-05,
2633,294666,2008-04-04,2008-04-08
2634,985873,2002-04-05,
2635,728775,1996-04-04,1996-04-04
2636,677611,2006-04-05,
2637,1301693,2007-04-05,2007-04-05
2638,1462378,2011-04-05,2011-04-05
2639,935950,1997-04-05,
2640,875339,1999-04-05,
2641,1206415,2010-04-05,
2642,1207094,2010-04-05,
2643,1065941,2008-04-04,2008-04-05
2644,548309,1994-04-05,
2645,1176752,2010-04-05,2010-04-05
2646,516016,2006-04-06,
2647,789105,1992-04-05,
2648,611757,1998-04-06,
2649,1446440,1998-04-06,
2650,1672379,2013-04-06,2013-04-06
2651,730764,1996-04-05,1996-04-05
2652,1020859,1996-04-05,
2653,779208,1993-04-06,1993-04-06
2654,1332914,2004-04-05,2004-04-05
2655,1213004,2010-04-06,2010-04-06
2656,1577482,2012-04-05,2012-04-05
2657,866470,2002-04-06,
2658,1352718,1999-04-06,
2659,1008110,1994-04-06,
2660,1691676,2013-04-06,
2661,264425,2005-04-06,2005-04-06
2662,352796,2006-04-06,2006-04-11
2663,491166,2006-04-06,
2664,1553329,2011-04-06,
2665,1255665,2002-04-06,2002-04-06
2666,1604446,2012-04-05,2012-04-05
2667,1747823,2014-04-06,
2668,1470297,2011-04-06,2011-04-12
2669,515196,2006-04-06,
2670,1336717,2005-04-06,2005-04-06
2671,1221578,2010-04-06,
2672,981605,1992-04-05,
2673,747158,1992-04-05,1992-04-05
2674,486565,2003-04-06,
2675,1165792,1997-04-06,1997-04-06
2676,1676659,2013-04-06,2013-04-06
2677,595920,2006-04-06,
2678,446293,2007-04-06,
2679,1210088,2010-04-06,
2680,1755266,2014-04-06,2014-04-07
2681,1386434,1996-04-05,1996-04-05
2682,145797,2002-04-06,2002-04-06
2683,1204902,2010-04-06,
2684,1595899,2012-04-05,2012-04-05
2685,1158966,2005-04-06,2005-04-06
2686,1294893,2008-04-06,2008-04-06
2687,1862078,2006-04-07,
2688,629155,2006-04-07,
2689,893522,2000-04-06,
2690,521975,2005-04-07,
2691,1676239,2013-04-07,2013-04-07
2692,438701,2006-04-07,
2693,677647,2006-04-07,
2694,1264238,2002-04-07,2002-04-07
2695,584623,2004-04-06,
2696,1533990,2009-04-07,
2697,1354139,1992-04-06,
2698,676650,2005-04-07,
2699,1475382,2011-04-07,2011-04-07
2700,196461,1998-04-07,1998-04-07
2701,1161729,2006-04-07,2006-04-07
2702,574802,2006-04-07,
2703,271793,2003-04-07,2003-04-07
2704,630826,2006-04-07,
2705,574793,2006-04-07,
2706,384209,2007-04-07,
2707,1025064,1997-04-07,
2708,297205,2002-04-07,2002-04-07
2709,1354158,1992-04-06,
2710,1314289,2005-04-07,2005-04-07
2711,591603,2005-04-07,
2712,546235,1992-04-06,
2713,1509837,2011-04-07,2011-04-07
2714,1426534,2010-04-07,2010-04-07
2715,611043,1997-04-07,
2716,1451158,2000-04-06,
2717,919959,2000-04-06,
2718,1029574,1998-04-07,
2719,268938,2009-04-07,2009-04-07
2720,1695518,2013-04-07,
2721,575448,2006-04-07,
2722,1687306,2013-04-07,2013-04-07
2723,803626,2000-04-06,
2724,433617,2004-04-06,
2725,798081,1992-04-06,1992-04-06
2726,1030563,1998-04-07,
2727,1681512,2013-04-07,
